customer_id,email,first_name,last_name,country,city,signup_date,acquisition_channel,segment,age,is_subscribed,total_orders,total_revenue,avg_order_value,first_order,last_order,ltv,days_active,order_freq_days,churned,cohort_month
1,unknown@nexacommerce.com,Steven,Koch,USA,Johnsonfurt,2023-07-20,social_media,budget,32,True,1,1560.49,1560.49,2023-08-19,2023-08-19,1560.49,0.0,,True,2023-08
2,nlevy@example.net,Michael,Williams,Canada,Harperfort,2022-10-17,email_campaign,regular,60,False,0,0.0,,,,,,,True,
3,amanda16@example.org,Nicole,Luna,Canada,Diazfurt,2022-07-22,referral,regular,28,False,0,0.0,,,,,,,True,
4,hudsonjames@example.net,Keith,Hughes,India,Duranview,2023-09-02,email_campaign,regular,35,True,3,4628.610000000001,1542.87,2023-09-15,2024-03-27,4628.61,194.0,97.0,False,2023-09
5,andersoncolin@example.com,Laura,Morgan,Germany,Kariborough,2023-05-21,social_media,regular,41,True,1,61.47,61.47,2023-09-13,2023-09-13,61.47,0.0,,True,2023-09
6,cporter@example.org,Derrick,Cook,Singapore,Stoneberg,2023-11-22,social_media,premium,20,False,2,2466.02,1233.01,2023-12-24,2024-03-09,2466.02,76.0,76.0,False,2023-12
7,markaustin@example.org,Phillip,Jensen,India,Brittneyhaven,2022-06-29,social_media,regular,49,False,1,268.8,268.8,2023-11-04,2023-11-04,268.8,0.0,,True,2023-11
8,terickson@example.com,Lisa,Richardson,Australia,South Brandytown,2023-04-27,paid_search,regular,36,False,1,310.71,310.71,2023-05-08,2023-05-08,310.71,0.0,,True,2023-05
9,pbaker@example.net,Becky,Griffith,India,Jacksonfurt,2023-02-15,paid_search,premium,43,False,7,11607.449999999999,1658.21,2023-02-21,2024-03-21,11607.45,394.0,65.7,False,2023-02
10,lorraineallen@example.net,Stacy,Rodriguez,India,South Leeberg,2022-01-02,paid_search,regular,58,True,3,2354.45,784.82,2022-01-04,2022-02-09,2354.45,36.0,18.0,True,2022-01
11,avaughn@example.net,Kimberly,Knapp,USA,Lake Devinborough,2022-02-22,email_campaign,budget,58,True,1,312.02,312.02,2022-03-12,2022-03-12,312.02,0.0,,True,2022-03
12,whitney78@example.com,Lee,Thompson,USA,Amyview,2022-09-03,organic_search,regular,25,True,1,4141.27,4141.27,2022-09-11,2022-09-11,4141.27,0.0,,True,2022-09
13,plee@example.com,Angela,Walker,India,Kellieborough,2022-05-01,email_campaign,regular,48,False,2,432.72,216.36,2023-08-05,2023-12-01,432.72,118.0,118.0,True,2023-08
14,wstewart@example.net,Sarah,Pope,USA,Keithshire,2022-09-07,email_campaign,regular,22,True,1,249.54,249.54,2023-02-17,2023-02-17,249.54,0.0,,True,2023-02
15,zhuang@example.com,Stephanie,Ballard,India,Bobbyland,2023-03-01,email_campaign,regular,55,False,1,344.78,344.78,2023-09-06,2023-09-06,344.78,0.0,,True,2023-09
16,sandra47@example.org,James,Ryan,India,Derrickshire,2023-05-17,email_campaign,premium,38,False,0,0.0,,,,,,,True,
17,johnsantiago@example.net,Jeremiah,Hall,USA,South Markfort,2023-12-16,paid_search,budget,42,True,2,2794.52,1397.26,2023-12-27,2024-03-22,2794.52,86.0,86.0,False,2023-12
18,maldonadoderrick@example.net,Tiffany,Moore,Singapore,Woodsborough,2023-11-11,organic_search,premium,39,False,6,20161.05,3360.18,2023-12-02,2024-03-19,20161.05,108.0,21.6,False,2023-12
